date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:28	116852/116852	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2009:22:35%20GMT	https://websmirno.site/voicer/index.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/index.html	(from )
10:45:29	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Aug%202022%2018:54:58%20GMT	https://websmirno.site/robots.txt		(from )
10:45:29	1403/1403	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:57:57%20GMT	https://websmirno.site/voicer/favicon.png	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/favicon.png	(from https://websmirno.site/voicer/index.html)
10:45:30	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/Users/DELL/Desktop/studio%202/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://websmirno.site/voicer/index.html)
10:45:30	12795/12795	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2010:48:19%20GMT	https://websmirno.site/voicer/vendor/fancybox/dist/jquery.fancybox.min.css	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/vendor/fancybox/dist/jquery.fancybox.min.css	(from https://websmirno.site/voicer/index.html)
10:45:31	79997/79997	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:12%20GMT	https://websmirno.site/voicer/about.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/about.html	(from https://websmirno.site/voicer/index.html)
10:45:32	45875/45875	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:09%20GMT	https://websmirno.site/voicer/equipment.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/equipment.html	(from https://websmirno.site/voicer/index.html)
10:45:33	337937/337937	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:07%20GMT	https://websmirno.site/voicer/projects.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/projects.html	(from https://websmirno.site/voicer/index.html)
10:45:33	95613/95613	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:06%20GMT	https://websmirno.site/voicer/services.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/services.html	(from https://websmirno.site/voicer/index.html)
10:45:33	977944/977944	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2010:58:10%20GMT	https://websmirno.site/voicer/css/index.css	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/css/index.css	(from https://websmirno.site/voicer/index.html)
10:45:33	86458/86458	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:05%20GMT	https://websmirno.site/voicer/testimonials.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/testimonials.html	(from https://websmirno.site/voicer/index.html)
10:45:34	79569/79569	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:07%20GMT	https://websmirno.site/voicer/rates.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/rates.html	(from https://websmirno.site/voicer/index.html)
10:45:34	87306/87306	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:11%20GMT	https://websmirno.site/voicer/blog.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/blog.html	(from https://websmirno.site/voicer/index.html)
10:45:35	78710/78710	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:11%20GMT	https://websmirno.site/voicer/blog-post.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/blog-post.html	(from https://websmirno.site/voicer/index.html)
10:45:35	92794/92794	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:06%20GMT	https://websmirno.site/voicer/shop.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/shop.html	(from https://websmirno.site/voicer/index.html)
10:45:35	102532/102532	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:08%20GMT	https://websmirno.site/voicer/product.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/product.html	(from https://websmirno.site/voicer/index.html)
10:45:36	49322/49322	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:10%20GMT	https://websmirno.site/voicer/cart.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/cart.html	(from https://websmirno.site/voicer/index.html)
10:45:36	323343/323343	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:09%20GMT	https://websmirno.site/voicer/gallery.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/gallery.html	(from https://websmirno.site/voicer/index.html)
10:45:37	50933/50933	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:10%20GMT	https://websmirno.site/voicer/contact.html	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/contact.html	(from https://websmirno.site/voicer/index.html)
10:45:37	158094/158094	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:31%20GMT	https://websmirno.site/voicer/img/main-slider-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/main-slider-1.jpg	(from https://websmirno.site/voicer/index.html)
10:45:37	89519/89519	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:32%20GMT	https://websmirno.site/voicer/img/main-slider-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/main-slider-2.jpg	(from https://websmirno.site/voicer/index.html)
10:45:37	77169/77169	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:58:59%20GMT	https://websmirno.site/voicer/img/studio-1.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/studio-1.jpg	(from https://websmirno.site/voicer/index.html)
10:45:38	66083/66083	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Sep%202019%2010:59:00%20GMT	https://websmirno.site/voicer/img/studio-2.jpg	C:/Users/DELL/Desktop/studio%202/websmirno.site/voicer/img/studio-2.jpg	(from https://websmirno.site/voicer/index.html)
